Iestājeksāmena rezultāti(punkti)        Gada atzīme
30        7
77        6
80        5
47        5
87        4
63        7
70        6
90        7
83        7
90        8
77        4
53        5
63        6
40        6
30        4
90        6
70        5
47        6
70        5
80        7
67        6
73        4
80        6
90        7
70        5
70        5
60        5
80        5
70        5
90        7
80        7
80        8
80        8
47        5
63        7
100        9
70        7
63        7
70        7
60        5
70        6
70        5
80        8
47        4
80        7
70        5
42        5
90        9
90        9
47        4
47        7
37        7
37        5
40        6
60        6
70        7
33        6
60        6
30        5
50        5
60        7
100        9
27        5
90        8
60        8
70        7
33        7
60        7
70        6
50        8
43        6
80        7
70        6
40        5
40        7
70        6
68        4
80        8
63        6
30        5
63        6
60        6
